Run,Individual,sampling_day,diet_period,diet_type
SRR097173,m3,4,D2, TD.09053
SRR097152,m1,7,D4, TD.09057
SRR097001,m11,4,D2, TD.09051
SRR096973,m6,4,D3, TD.09057
SRR097186,m12,14,D3, TD.09052
SRR097149,m12,4,D2, TD.09057
SRR097088,m1,1,D3, TD.09050
SRR097081,m13,7,D3, TD.09053
SRR097167,m10,1,D3, TD.09056
SRR097003,m9,4,D4, TD.09058
SRR097218,m1,7,D2, TD.09050
SRR097121,m5,4,D2, TD.09054
SRR097125,m8,14,D3, TD.09049
SRR097044,m6,4,D2, TD.09058
SRR096986,m7,4,D3, TD.09059
SRR097036,m7,2,D4, TD.09051
SRR096987,m1,4,D2, TD.09050
SRR097021,m4,7,D2, TD.09059
SRR097159,m11,4,D3, TD.09053
SRR097095,m12,4,D3, TD.09052
SRR097037,m5,1,D2, TD.09054
SRR097126,m1,7,D3, TD.09050
SRR097011,m8,4,D4, TD.09055
SRR097012,m1,14,D4, TD.09057
SRR096980,m3,7,D4, TD.09052
SRR096964,m13,2,D3, TD.09053
SRR097117,m6,2,D4, TD.09058
SRR097084,m10,7,D2, TD.09049
SRR097206,m4,4,D2, TD.09059
SRR097063,m12,14,D4, TD.09050
SRR097004,m9,2,D4, TD.09058
SRR097142,m10,14,D4, TD.09049
SRR097104,m10,2,D2, TD.09049
SRR097224,m4,14,D3, TD.09058
SRR097189,m13,2,D2, TD.09053
SRR097212,m7,1,D4, TD.09051
SRR097051,m10,2,D3, TD.09056
SRR097017,m5,14,D4, TD.09053
SRR096999,m7,1,D3, TD.09059
SRR097156,m3,14,D4, TD.09052
SRR097018,m11,2,D3, TD.09053
SRR097077,m2,4,D4, TD.09054
SRR097120,m4,4,D4, TD.09056
SRR097098,m13,14,D4, TD.09053
SRR097187,m5,7,D4, TD.09053
SRR097055,m13,4,D2, TD.09053
SRR097118,m4,4,D3, TD.09058
SRR097046,m4,2,D3, TD.09058
SRR097135,m9,7,D3, TD.09059
SRR097052,m11,1,D4, TD.09059
SRR096959,m6,2,D3, TD.09057
SRR097034,m8,4,D3, TD.09049
SRR097157,m5,14,D3, TD.09054
SRR097168,m5,2,D3, TD.09054
SRR097127,m13,4,D3, TD.09053
SRR096984,m9,2,D2, TD.09058
SRR097064,m12,7,D3, TD.09052
SRR097054,m6,7,D3, TD.09057
SRR097007,m2,7,D3, TD.09055
SRR097225,m7,14,D4, TD.09051
SRR097171,m10,4,D3, TD.09056
SRR096966,m5,2,D4, TD.09053
SRR097128,m13,1,D4, TD.09053
SRR097131,m7,2,D2, TD.09056
SRR097072,m7,2,D3, TD.09059
SRR096977,m11,14,D4, TD.09059
SRR097103,m13,4,D4, TD.09053
SRR097151,m10,4,D4, TD.09049
SRR096998,m5,7,D2, TD.09054
SRR097185,m4,2,D4, TD.09056
SRR097164,m13,7,D2, TD.09053
SRR097123,m2,1,D3, TD.09055
SRR097090,m2,14,D4, TD.09054
SRR097100,m11,1,D3, TD.09053
SRR097029,m7,4,D4, TD.09051
SRR097040,m2,2,D4, TD.09054
SRR097140,m11,7,D3, TD.09053
SRR097217,m5,4,D4, TD.09053
SRR097153,m9,7,D2, TD.09058
SRR097060,m10,4,D2, TD.09049
