"","Host_diet"
"SRR2866538","high fat"
"SRR2866539","high fat"
"SRR2866542","high fat"
"SRR2866550","high fat"
"SRR2866551","high fat"
"SRR2866561","high fat"
"SRR2866572","high fat"
"SRR2866575","high fat"
"SRR2866582","high fat"
"SRR2866583","high fat"
"SRR2866584","herbivore"
"SRR2866585","herbivore"
"SRR2866586","herbivore"
"SRR2866587","herbivore"
"SRR2866590","herbivore"
"SRR2866591","herbivore"
"SRR2866592","herbivore"
"SRR2866593","herbivore"
"SRR2866594","high fat"
"SRR2866596","herbivore"
"SRR2866597","herbivore"
"SRR2866599","herbivore"
"SRR2866600","herbivore"
"SRR2866601","herbivore"
"SRR2866602","herbivore"
"SRR2866603","herbivore"
"SRR2866604","herbivore"
"SRR2866645","herbivore"
"SRR2866674","herbivore"
"SRR2866681","herbivore"
"SRR2866697","herbivore"
"SRR2866698","herbivore"
"SRR2866699","high fat"
"SRR2866700","high fat"
